replicate,arm,site,alpha,n_target,reason,certified,tau,coverage,n_answered,answered_err_rate,hard,numbedscategory,teachingstatus,region,aps_coverage,apv_coverage
3,apache-complete,hosp-209,0.1,99,bbse:bbse-misspecified,True,0.83,0.899,89,0.0337,False,,f,,1.0,1.0
3,apache-complete,hosp-220,0.05,652,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,250 - 499,t,South,1.0,1.0
3,apache-complete,hosp-220,0.1,652,bbse:bbse-misspecified,True,0.83,0.8758,571,0.028,False,250 - 499,t,South,1.0,1.0
3,apache-complete,hosp-243,0.05,2403,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,f,South,1.0,1.0
3,apache-complete,hosp-243,0.1,2403,bbse:failsafe,True,0.83,0.8256,1984,0.0403,False,>= 500,f,South,1.0,1.0
3,apache-complete,hosp-249,0.05,335,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
3,apache-complete,hosp-249,0.1,335,bbse:bbse-misspecified,True,0.83,0.8925,299,0.0368,False,<100,f,Midwest,1.0,1.0
3,apache-complete,hosp-253,0.05,408,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-253,0.1,408,bbse:failsafe,True,0.83,0.8284,338,0.0621,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-258,0.05,292,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
3,apache-complete,hosp-258,0.1,292,bbse:bbse-misspecified,True,0.83,0.887,259,0.0193,False,<100,f,Midwest,1.0,1.0
3,apache-complete,hosp-277,0.05,1281,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-277,0.1,1281,bbse:failsafe,True,0.83,0.8532,1093,0.0293,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-282,0.05,771,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-282,0.1,771,bbse:bbse-misspecified,True,0.83,0.9014,695,0.0245,False,100 - 249,f,Midwest,1.0,1.0
3,apache-complete,hosp-381,0.05,201,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-381,0.1,201,bbse:bbse-misspecified,True,0.83,0.8657,174,0.023,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-389,0.05,406,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-389,0.1,406,bbse:bbse-misspecified,True,0.83,0.9064,368,0.0435,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-390,0.05,895,baseline:failsafe|bbse:failsafe,False,,,0,,False,250 - 499,f,,1.0,1.0
3,apache-complete,hosp-390,0.1,895,bbse:failsafe,True,0.83,0.838,750,0.0493,False,250 - 499,f,,1.0,1.0
3,apache-complete,hosp-404,0.05,368,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-404,0.1,368,bbse:bbse-misspecified,True,0.83,0.9049,333,0.033,False,<100,f,West,1.0,1.0
3,apache-complete,hosp-405,0.05,280,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,West,1.0,1.0
3,apache-complete,hosp-405,0.1,280,bbse:failsafe,True,0.83,0.8821,247,0.0243,False,100 - 249,f,West,1.0,1.0
3,apache-complete,hosp-416,0.05,1608,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,>= 500,t,Midwest,1.0,1.0
3,apache-complete,hosp-416,0.1,1608,bbse:bbse-misspecified,True,0.83,0.916,1473,0.0353,False,>= 500,t,Midwest,1.0,1.0
3,apache-complete,hosp-420,0.05,3374,baseline:failsafe|bbse:failsafe,False,,,0,,False,>= 500,t,Northeast,1.0,1.0
3,apache-complete,hosp-420,0.1,3374,bbse:failsafe,True,0.83,0.858,2895,0.066,False,>= 500,t,Northeast,1.0,1.0
3,apache-complete,hosp-424,0.05,355,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Northeast,1.0,1.0
3,apache-complete,hosp-424,0.1,355,bbse:bbse-misspecified,True,0.83,0.9324,331,0.0181,False,<100,f,Northeast,1.0,1.0
4,apache-complete,hosp-66,0.05,722,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
4,apache-complete,hosp-66,0.1,722,bbse:bbse-misspecified,True,0.87,0.8532,616,0.0211,False,100 - 249,f,Midwest,1.0,1.0
4,apache-complete,hosp-68,0.05,346,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,Midwest,1.0,1.0
4,apache-complete,hosp-68,0.1,346,bbse:bbse-misspecified,True,0.87,0.8121,281,0.0,False,<100,f,Midwest,1.0,1.0
4,apache-complete,hosp-71,0.05,435,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,100 - 249,f,Midwest,1.0,1.0
4,apache-complete,hosp-71,0.1,435,bbse:bbse-misspecified,True,0.87,0.8644,376,0.0133,False,100 - 249,f,Midwest,1.0,1.0
4,apache-complete,hosp-144,0.05,637,baseline:failsafe|bbse:failsafe,False,,,0,,False,100 - 249,f,South,1.0,1.0
4,apache-complete,hosp-144,0.1,637,bbse:failsafe,True,0.87,0.8273,527,0.0398,False,100 - 249,f,South,1.0,1.0
4,apache-complete,hosp-164,0.05,109,baseline:failsafe|bbse:bbse-misspecified,False,,,0,,False,<100,f,West,1.0,1.0
