s_u,draw,n_sites,alpha,certified,tau,coverage,n_answered,answered_err_rate,hard,exceed,rm_fresh,rm_exceed,per_site_exceed_frac,deploy_mode,decline_reason
0.5,98,208,0.1,True,0.55,0.9841417910447762,2110,0.08246445497630332,False,False,0.058972,False,0.06,baseline,
0.5,99,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,99,208,0.1,True,0.55,0.981941309255079,435,0.0735632183908046,False,False,0.05883,False,0.05,baseline,
0.5,100,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,100,208,0.1,True,0.55,0.9831460674157303,350,0.04285714285714286,False,False,0.056,False,0.05,baseline,
0.5,101,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,101,208,0.1,True,0.55,0.9775862068965517,567,0.08465608465608465,False,False,0.058644,False,0.07,baseline,
0.5,102,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,102,208,0.1,True,0.55,0.9878787878787879,163,0.05521472392638037,False,False,0.059295,False,0.07,baseline,
0.5,103,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,103,208,0.1,True,0.55,0.9938752783964365,3570,0.028011204481792718,False,False,0.058182,False,0.06,baseline,
0.5,104,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,104,208,0.1,True,0.5700000000000001,0.9775784753363229,218,0.03669724770642202,False,False,0.056386,False,0.07,baseline,
0.5,105,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""bbse-misspecified""}"
0.5,105,208,0.1,True,0.55,0.9859154929577465,70,0.04285714285714286,False,False,0.057586,False,0.06,baseline,
0.5,106,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,106,208,0.1,True,0.55,0.9811320754716981,312,0.060897435897435896,False,False,0.057724,False,0.06,baseline,
0.5,107,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,107,208,0.1,True,0.55,0.9910380881254668,1327,0.06330067822155237,False,False,0.056903,False,0.05,baseline,
0.5,108,208,0.05,False,,0.0,0,nan,False,False,,,,,"{""baseline"": ""failsafe"", ""bbse"": ""failsafe""}"
0.5,108,208,0.1,True,0.55,0.9929245283018868,421,0.07125890736342043,False,False,0.056842,False,0.025,baseline,
