s_u,draw,alpha,unit,certified,tau,coverage,rm_fresh,rm_exceed
0.5,113,0.1,record,True,0.55,0.9847,0.055788,False
0.5,114,0.05,site,False,,,,
0.5,114,0.05,record,True,0.65,0.9548,0.046931,False
0.5,114,0.1,site,True,0.55,0.9851,0.058483,False
0.5,114,0.1,record,True,0.55,0.9851,0.058483,False
0.5,115,0.05,site,False,,,,
0.5,115,0.05,record,True,0.63,0.9567,0.045469,False
0.5,115,0.1,site,True,0.55,0.9838,0.055221,False
0.5,115,0.1,record,True,0.55,0.9838,0.055221,False
0.5,116,0.05,site,False,,,,
0.5,116,0.05,record,True,0.71,0.9304,0.039725,False
0.5,116,0.1,site,True,0.55,0.9848,0.058743,False
0.5,116,0.1,record,True,0.55,0.9848,0.058743,False
0.5,117,0.05,site,False,,,,
0.5,117,0.05,record,True,0.67,0.9432,0.046427,False
0.5,117,0.1,site,True,0.55,0.9847,0.060333,False
0.5,117,0.1,record,True,0.55,0.9847,0.060333,False
0.5,118,0.05,site,False,,,,
0.5,118,0.05,record,True,0.73,0.9245,0.037961,False
0.5,118,0.1,site,True,0.55,0.9852,0.057128,False
0.5,118,0.1,record,True,0.55,0.9852,0.057128,False
0.5,119,0.05,site,False,,,,
0.5,119,0.05,record,True,0.71,0.9281,0.038516,False
0.5,119,0.1,site,True,0.55,0.9846,0.057765,False
0.5,119,0.1,record,True,0.55,0.9846,0.057765,False
0.5,120,0.05,site,False,,,,
0.5,120,0.05,record,True,0.83,0.8657,0.026084,False
0.5,120,0.1,site,True,0.57,0.9782,0.055915,False
0.5,120,0.1,record,True,0.55,0.9847,0.058126,False
0.5,121,0.05,site,False,,,,
0.5,121,0.05,record,True,0.73,0.9194,0.036596,False
0.5,121,0.1,site,True,0.55,0.9842,0.056816,False
0.5,121,0.1,record,True,0.55,0.9842,0.056816,False
0.5,122,0.05,site,False,,,,
0.5,122,0.05,record,True,0.77,0.9028,0.03347,False
0.5,122,0.1,site,True,0.55,0.9847,0.057679,False
0.5,122,0.1,record,True,0.55,0.9847,0.057679,False
0.5,123,0.05,site,False,,,,
0.5,123,0.05,record,True,0.71,0.9351,0.040317,False
0.5,123,0.1,site,True,0.55,0.9857,0.058568,False
0.5,123,0.1,record,True,0.55,0.9857,0.058568,False
0.5,124,0.05,site,False,,,,
0.5,124,0.05,record,True,0.65,0.955,0.04727,False
0.5,124,0.1,site,True,0.55,0.9855,0.058336,False
0.5,124,0.1,record,True,0.55,0.9855,0.058336,False
0.5,125,0.05,site,False,,,,
0.5,125,0.05,record,True,0.69,0.9385,0.039175,False
0.5,125,0.1,site,True,0.55,0.985,0.054802,False
0.5,125,0.1,record,True,0.55,0.985,0.054802,False
0.5,126,0.05,site,False,,,,
0.5,126,0.05,record,True,0.65,0.9536,0.047836,False
0.5,126,0.1,site,True,0.57,0.9793,0.056572,False
0.5,126,0.1,record,True,0.55,0.9854,0.05855,False
0.5,127,0.05,site,False,,,,
0.5,127,0.05,record,True,0.85,0.8591,0.028004,False
0.5,127,0.1,site,True,0.55,0.9846,0.060986,False
